"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"CTH110","1988.0","WI","12/01/1987 09:00:00","03/01/1988 08:00:00","18.886","3.322","0.609","3.239","3.796","","","","","",""
"MKG113","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","4.445","5.842","0.158","1.842","1.971","1.891","0.276","0.048","0.04","0.126","0.032"
"ABT147","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","1.447","1.237","1.152","0.736","1.876","0.639","0.063","0.271","0.024","0.051","0.188"
"GRS420","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","3.859","3.759","0.483","2.188","2.637","1.134","0.257","0.163","0.054","0.073","0.017"
"LAV410","1996.0","SP","02/27/1996 09:00:00","06/04/1996 08:00:00","0.132","0.499","0.242","0.363","0.6","0.166","","","","",""
"WSP144","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","14.195","3.693","1.87","1.929","3.769","1.73","","","","",""
"ALH157","1989.0","SP","02/28/1989 09:00:00","05/30/1989 08:00:00","12.134","5.961","4.139","2.232","6.335","3.103","0.714","0.128","0.109","0.328",""
"PED108","1989.0","SP","02/28/1989 09:00:00","05/30/1989 08:00:00","7.696","5.803","0.494","2.996","3.429","1.892","0.137","0.166","0.047","0.317",""
"SAL133","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","5.163","3.88","2.908","2.85","5.713","1.963","0.379","0.08","0.093","0.07",""
"UIN162","1992.0","SP","03/03/1992 09:00:00","06/02/1992 08:00:00","0.225","0.731","0.222","0.356","0.573","0.273","","","","",""
"LAV410","1996.0","WI","11/28/1995 09:00:00","02/27/1996 08:00:00","","","","","","","","","","",""
"SPD111","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","4.278","4.45","0.457","1.959","2.386","1.519","0.513","0.034","0.04","0.07","0.033"
"DEV412","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","0.33","1.161","0.318","0.995","1.298","0.321","0.345","0.299","0.056","0.054","0.082"
"PND165","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","0.284","0.423","0.062","0.229","0.288","0.157","","","","",""
"SUM156","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.308","1.262","0.364","0.312","0.672","0.217","0.098","0.453","0.067","0.06","0.289"
"CHA467","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.424","1.121","0.401","0.82","1.208","0.366","0.229","0.135","0.034","0.056","0.053"
"CAT175","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","0.697","1.267","0.492","0.833","1.312","0.512","0.1","0.063","0.021","0.032","0.027"
"WSP144","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","1.237","1.653","0.892","1.173","2.046","0.64","0.18","0.281","0.059","0.064","0.236"
"SAL133","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","1.449","1.749","1.699","1.382","3.059","0.965","0.323","0.086","0.079","0.064","0.047"
"ARE128","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","14.277","2.96","2.949","1.821","4.741","1.699","0.208","0.198","0.032","0.06","0.106"
"ARE128","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","6.012","7.111","0.272","2.078","2.316","2.381","0.261","0.064","0.04","0.073","0.033"
"YEL408","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","0.911","0.645","0.166","0.205","0.367","0.219","0.117","0.024","0.025","0.025","0.016"
"IRL141","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","1.808","2.797","1.548","0.32","1.863","0.448","0.381","3.977","0.507","0.207","6.33"
"ASH135","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","2.375","1.639","0.327","0.632","0.949","0.378","","","","",""
"WST109","2021.0","SP","03/02/2021 09:00:00","06/01/2021 08:00:00","0.27","0.555","0.182","0.234","0.412","0.2","0.1","0.092","0.024","0.038","0.074"
"PRK134","2008.0","SU","06/03/2008 09:00:00","09/02/2008 08:00:00","0.688","1.415","0.261","0.652","0.903","0.525","0.216","0.016","0.048","0.061","0.032"
"PRK134","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.497","0.798","2.382","0.259","2.636","0.851","0.258","0.151","0.044","0.06","0.185"
"BUF603","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.509","0.43","0.362","0.356","0.712","0.221","0.098","0.019","0.013","0.014","0.017"
"GRC474","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","0.134","0.59","0.263","0.73","0.982","0.215","0.212","0.1","0.036","0.052","0.029"
"IRL141","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.61","2.421","1.435","0.34","1.769","0.477","0.293","2.734","0.351","0.157","4.224"
"ABT147","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.247","0.802","0.293","0.612","0.895","0.249","0.084","0.176","0.038","0.078","0.07"
"PNF126","1994.0","WI","11/30/1993 09:00:00","03/01/1994 08:00:00","5.999","1.83","0.222","1.399","1.598","0.455","","","","",""
"SAV164","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","0.227","0.484","0.218","0.536","0.745","0.214","","","","",""
"WNC429","2009.0","FA","09/01/2009 09:00:00","12/01/2009 08:00:00","0.518","0.783","0.185","0.407","0.585","0.272","0.234","0.019","0.02","0.099","0.034"
"SPD111","1996.0","SU","06/04/1996 09:00:00","09/03/1996 08:00:00","3.002","9.969","0.285","2.101","2.352","3.341","","","","",""
"MOR409","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","1.734","1.515","0.142","0.837","0.966","0.482","","","","",""
"CHA467","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.187","0.74","0.348","0.774","1.11","0.253","0.346","0.127","0.042","0.088","0.04"
"YOS404","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","0.175","0.197","0.225","0.319","0.539","0.113","0.03","0.036","0.006","0.011",""
"BVL130","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","5.039","2.815","5.951","0.697","6.637","2.528","0.319","0.147","0.05","0.08","0.175"
"EGB181","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","5.643","1.889","3.785","0.523","4.299","1.64","0.471","0.211","0.045","0.04",""
"ALC188","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.925","1.532","0.447","0.632","1.069","0.377","0.289","0.375","0.067","0.087","0.363"
"CVL151","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.727","1.002","0.775","0.625","1.39","0.399","0.217","0.161","0.035","0.06","0.079"
"CHE185","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","1.125","3.634","0.581","1.171","1.733","1.041","0.914","0.176","0.053","0.101","0.042"
"GRC474","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","0.408","0.304","0.211","0.643","0.844","0.095","0.122","0.055","0.019","0.019","0.023"
"BVL130","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.807","1.314","4.181","0.291","4.467","1.552","0.228","0.109","0.044","0.046","0.136"
"EVE419","1998.0","FA","09/01/1998 09:00:00","12/01/1998 08:00:00","","","","","","","","","","",""
"SND152","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.661","1.134","1.791","0.559","2.341","0.776","0.208","0.171","0.035","0.078","0.112"
"STK138","1994.0","WI","11/30/1993 09:00:00","03/01/1994 08:00:00","","","","","","","","","","",""
"CTH110","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","1.912","1.624","1.184","0.704","1.877","0.828","0.11","0.132","0.02","0.035","0.073"
"DEV412","2006.0","FA","08/29/2006 09:00:00","11/28/2006 08:00:00","0.23","0.63","0.2","1.028","1.212","0.276","0.233","0.083","0.039","0.043","0.026"
"DCP114","1996.0","FA","09/03/1996 09:00:00","12/03/1996 08:00:00","8.382","4.308","1.731","2.355","4.048","1.803","","","","",""
"GAS153","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","","","","","","","","","","",""
"BBE401","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","0.788","2.937","0.446","0.648","1.084","0.847","0.399","0.215","0.046","0.057","0.021"
"QAK172","1996.0","WI","11/28/1995 09:00:00","02/27/1996 08:00:00","","","","","","","","","","",""
"PND165","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.217","0.521","0.134","0.413","0.541","0.217","0.167","0.046","0.024","0.04","0.02"
"ROM406","1998.0","SP","03/03/1998 09:00:00","06/02/1998 08:00:00","0.556","0.761","0.444","0.511","0.946","0.352","","","","",""
"CTH110","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","1.126","1.404","0.726","0.803","1.516","0.606","0.259","0.099","0.043","0.046","0.065"
"WEL149","1990.0","WI","11/28/1989 09:00:00","02/27/1990 08:00:00","7.209","2.481","1.787","1.42","3.184","1.224","","","","",""
"WNC429","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","0.315","0.797","0.166","0.668","0.823","0.293","0.284","0.015","0.031","0.041","0.014"
"MAC426","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","4.658","3.961","0.772","1.76","2.504","1.348","0.295","0.069","0.043","0.084","0.034"
"ABT147","2022.0","SP","03/01/2022 09:00:00","05/31/2022 08:00:00","0.255","0.658","0.586","0.541","1.118","0.23","0.095","0.283","0.04","0.046","0.229"
"LYK123","1995.0","SU","05/30/1995 09:00:00","08/29/1995 08:00:00","4.899","8.699","1.111","4.675","5.711","2.977","","","","",""
"ROM206","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.133","0.363","0.29","0.349","0.634","0.137","0.145","0.032","0.022","0.024","0.014"
"VIN140","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","7.505","8.997","0.804","2.362","3.128","2.599","1.531","0.053","0.129","0.127","0.04"
"CNT169","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.176","0.541","0.235","0.217","0.449","0.185","0.233","0.048","0.033","0.029","0.027"
"MCK231","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.551","1.279","0.692","0.785","1.465","0.544","0.287","0.069","0.043","0.066","0.04"
"KNZ184","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.27","0.823","0.973","0.342","1.309","0.354","1.101","0.039","0.039","0.065","0.032"
"WFM105","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.403","0.722","0.764","0.449","1.206","0.412","0.067","0.079","0.014","0.028","0.046"
"CHA467","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.352","0.7","0.193","0.317","0.504","0.251","0.177","0.07","0.017","0.03","0.026"
"ESP127","2020.0","SP","03/03/2020 09:00:00","06/02/2020 08:00:00","0.248","0.963","0.27","0.561","0.822","0.314","0.162","0.106","0.032","0.064","0.05"
"SND152","2007.0","FA","09/04/2007 09:00:00","12/04/2007 08:00:00","6.417","4.314","1.258","1.495","2.729","1.677","0.31","0.24","0.062","0.089","0.064"
"OLY421","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","2.008","1.467","0.445","0.601","1.036","0.306","0.064","0.387","0.054","0.083","0.165"
"GLR468","2020.0","FA","09/01/2020 09:00:00","12/01/2020 08:00:00","0.101","0.339","0.161","0.208","0.365","0.149","0.143","0.029","0.026","0.065","0.016"
"VIN140","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","5.181","3.522","1.531","1.258","2.769","1.271","1.034","0.066","0.08","0.105","0.043"
"HVT424","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","12.34","1.207","0.097","0.074","0.17","0.098","0.025","0.386","0.047","0.027",""
"PAR207","1989.0","SP","02/28/1989 09:00:00","05/30/1989 08:00:00","","","","","","","","","","",""
"BWR139","2023.0","WI","11/29/2022 09:00:00","02/28/2023 08:00:00","","","","","","","","","","",""
"PET427","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.312","0.247","0.148","0.465","0.606","0.101","0.109","0.033","0.011","0.014","0.021"
"ARE128","2009.0","FA","09/01/2009 09:00:00","12/01/2009 08:00:00","3.115","2.279","0.905","1.098","1.985","0.886","0.189","0.18","0.045","0.083","0.094"
"HOW132","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","2.072","1.09","0.348","0.56","0.899","0.344","0.031","0.19","0.02","0.032","0.108"
"CKT136","1993.0","SU","06/01/1993 09:00:00","08/31/1993 08:00:00","","","","","","","","","","",""
"VOY413","2022.0","FA","08/30/2022 09:00:00","11/29/2022 08:00:00","0.19","0.402","0.372","0.199","0.568","0.191","0.359","0.025","0.068","0.045","0.02"
"ANA115","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","1.514","2.778","0.27","1.493","1.739","0.939","0.357","0.034","0.088","0.099","0.033"
"GRC474","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","0.372","0.928","0.339","1.031","1.354","0.325","0.201","0.102","0.032","0.042","0.034"
"PSU106","1990.0","FA","09/04/1990 09:00:00","12/04/1990 08:00:00","15.29","5.101","1.013","2.444","3.418","1.893","","","","",""
"COW137","1992.0","SP","03/03/1992 09:00:00","06/02/1992 08:00:00","2.212","4.542","0.152","1.03","1.166","1.308","","","","",""
"SPD111","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.379","1.046","0.859","0.57","1.42","0.519","0.154","0.055","0.022","0.053","0.035"
"EGB181","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","7.063","2.538","3.908","0.739","4.635","1.823","0.5","0.257","0.042","0.047",""
"PRK134","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","2.082","1.773","2.942","0.58","3.513","1.379","0.116","0.09","0.026","0.043","0.09"
"BVL130","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","6.049","3.972","2.688","2.625","5.271","1.745","","","","",""
"SUM156","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.855","3.332","0.306","0.742","1.037","0.666","0.181","0.459","0.08","0.072","0.082"
"ESP127","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","7.496","3.047","0.938","2.485","3.383","1.156","","","","",""
"CDR119","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","10.791","2.79","0.64","1.788","2.399","0.92","0.161","0.113","0.025","0.058","0.048"
"CDR119","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","6.429","11.107","0.107","1.637","1.718","2.479","","","","",""
"WSP144","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","6.914","4.038","1.296","2.796","4.048","1.499","0.259","0.261","0.073","0.062",""
"GRC474","2021.0","FA","08/31/2021 09:00:00","11/30/2021 08:00:00","0.137","0.394","0.226","0.457","0.676","0.144","0.182","0.064","0.027","0.032","0.016"
"MCK131","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.933","1.101","1.97","0.837","2.794","0.778","0.258","0.123","0.033","0.079","0.069"
"COW137","1991.0","SP","02/26/1991 09:00:00","06/04/1991 08:00:00","1.548","3.405","0.197","0.791","0.976","0.943","","","","",""
"KNZ184","2022.0","FA","08/30/2022 09:00:00","11/29/2022 08:00:00","0.329","0.844","0.774","0.512","1.277","0.297","1.934","0.049","0.06","0.091","0.026"
"ARE228","1993.0","FA","08/31/1993 09:00:00","11/30/1993 08:00:00","12.624","4.534","1.439","2.833","4.226","1.72","","","","",""
"BFT142","1996.0","WI","11/28/1995 09:00:00","02/27/1996 08:00:00","5.923","3.256","1.385","1.495","2.857","1.064","","","","",""
"VIN140","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","16.851","3.661","4.82","1.484","6.281","2.373","0.55","0.174","0.066","0.063",""
"ABT147","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.486","1.887","0.371","0.974","1.329","0.639","0.084","0.184","0.037","0.073","0.087"
"CHA267","1990.0","WI","11/28/1989 09:00:00","02/27/1990 08:00:00","1.992","0.757","0.201","0.319","0.515","0.273","","","","",""
"BUF603","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.226","0.469","0.14","0.62","0.75","0.213","0.205","0.019","0.033","0.067","0.013"
"SPD111","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.605","1.287","0.455","0.675","1.119","0.364","0.844","0.074","0.084","0.085","0.034"
"YEL408","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.942","0.721","0.154","0.464","0.611","0.276","0.162","0.035","0.026","0.076","0.013"
"BBE401","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","1.059","1.573","0.596","0.675","1.259","0.541","","","","",""
"SHN418","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.241","1.175","0.212","0.641","0.843","0.432","0.142","0.043","0.027","0.047","0.036"
"NCS415","2007.0","FA","09/04/2007 09:00:00","12/04/2007 08:00:00","0.137","0.466","0.096","0.13","0.223","0.151","0.019","0.062","0.011","0.046","0.035"
"MAC426","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.321","1.393","0.199","0.752","0.939","0.44","0.201","0.057","0.033","0.089","0.034"
"SAN189","2020.0","SP","03/03/2020 09:00:00","06/02/2020 08:00:00","0.297","0.904","1.054","0.63","1.674","0.531","0.323","0.033","0.057","0.054","0.025"
"NIC001","2021.0","SP","03/02/2021 09:00:00","06/01/2021 08:00:00","0.191","0.699","0.31","0.355","0.659","0.237","0.217","0.061","0.032","0.037","0.031"
"BWR139","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","0.694","1.199","0.497","0.825","1.309","0.347","0.128","0.372","0.064","0.093","0.147"
"SND152","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","1.223","3.818","0.295","1.419","1.691","1.409","0.221","0.147","0.044","0.137","0.037"
"GRB411","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","0.162","0.211","0.094","0.207","0.298","0.085","0.037","0.016","0.005","0.007","0.014"
"DIN431","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.364","0.492","0.19","0.288","0.474","0.17","0.264","0.046","0.038","0.029","0.018"
"DEN417","2022.0","SP","03/01/2022 09:00:00","05/31/2022 08:00:00","0.197","0.393","0.091","0.068","0.158","0.139","0.04","0.037","0.01","0.015","0.026"
"SAL133","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","2.886","2.298","4.611","0.363","4.968","2.105","0.235","0.116","0.051","0.057","0.173"
"CVL151","1992.0","FA","09/01/1992 09:00:00","12/01/1992 08:00:00","3.5","4.316","0.574","1.291","1.845","1.492","","","","",""
"WNC429","2021.0","SP","03/02/2021 09:00:00","06/01/2021 08:00:00","0.202","0.585","0.318","0.407","0.718","0.211","0.271","0.046","0.032","0.026","0.019"
"SND152","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","2.66","2.37","2.342","0.613","2.945","1.454","0.188","0.132","0.03","0.078","0.082"
"YOS404","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","","","","","","","","","","",""
"CAN407","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","0.383","0.701","0.264","0.709","0.962","0.219","0.306","0.074","0.04","0.036",""
"BWR139","2005.0","FA","08/30/2005 09:00:00","11/29/2005 08:00:00","","","","","","","","","","",""
"ROM206","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","0.204","0.365","0.126","0.341","0.462","0.172","0.091","0.014","0.012","0.02","0.013"
"ALC188","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.723","3.107","0.693","0.846","1.526","0.608","0.255","0.792","0.117","0.111","0.399"
"BWR139","1999.0","FA","08/31/1999 09:00:00","11/30/1999 08:00:00","5.985","4.258","1.168","2.127","3.261","1.364","","","","",""
"ARE228","1993.0","SP","03/02/1993 09:00:00","06/01/1993 08:00:00","12.423","5.54","1.492","4.383","5.806","2.096","","","","",""
"CON186","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","0.372","1.125","1.779","2.248","3.991","0.574","0.289","0.2","0.064","0.059","0.024"
"PET427","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","1.873","0.385","0.283","1.102","1.357","0.142","0.227","0.055","0.03","0.034","0.027"
"UVL124","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","1.565","1.408","1.023","0.696","1.708","0.692","0.316","0.039","0.055","0.062","0.053"
"PED108","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","4.906","3.845","0.39","1.845","2.206","1.211","0.131","0.232","0.046","0.059","0.034"
"BVL130","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","0.601","1.269","0.666","1.389","2.032","0.45","0.54","0.062","0.111","0.07","0.032"
"ROM406","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","","","","","","","","","","",""
"WSP144","1991.0","FA","09/03/1991 09:00:00","12/03/1991 08:00:00","10.214","5.068","1.064","2.735","3.819","1.861","","","","",""
"EVE419","2002.0","SP","02/26/2002 09:00:00","06/04/2002 08:00:00","1.109","2.698","1.393","0.459","1.845","0.409","0.376","1.717","0.23","0.123",""
"PET427","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.232","0.398","0.255","0.546","0.792","0.152","0.159","0.056","0.02","0.021","0.024"
"GAS153","1991.0","FA","09/03/1991 09:00:00","12/03/1991 08:00:00","7.86","5.41","0.687","1.947","2.603","1.6","","","","",""
"ARE228","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","20.752","4.043","2.829","2.07","4.866","2.075","","","","",""
"VII423","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","0.519","1.383","0.57","0.066","0.635","0.12","0.185","2.702","0.361","0.153",""
"HVT424","2002.0","SP","02/26/2002 09:00:00","06/04/2002 08:00:00","31.142","2.072","0.102","0.12","0.22","0.194","0.055","0.494","0.063","0.045",""
"QAK172","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","14.09","4.234","1.539","2.803","4.298","1.583","0.497","0.074","0.085","0.059","0.048"
"PED108","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","4.472","2.291","0.569","1.177","1.728","0.909","0.081","0.134","0.022","0.069","0.064"
"SEK402","1997.0","SU","06/03/1997 09:00:00","09/02/1997 08:00:00","1.443","1.67","1.094","2.351","3.407","0.719","","","","",""
"PNF126","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","2.857","3.715","0.364","1.62","1.959","1.221","0.173","0.148","0.046","0.054","0.029"
"MEV405","1997.0","FA","09/02/1997 09:00:00","12/02/1997 08:00:00","1.147","0.802","0.14","0.728","0.856","0.271","","","","",""
"ALH157","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","3.456","2.062","3.408","0.423","3.824","1.544","0.387","0.195","0.053","0.068","0.19"
"LAV410","2007.0","WI","11/28/2006 09:00:00","02/27/2007 08:00:00","0.155","0.167","0.083","0.176","0.257","0.067","0.019","0.022","0.005","0.008","0.018"
"WST109","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","0.632","3.055","0.074","0.643","0.707","0.92","0.076","0.043","0.016","0.066",""
"GRC474","2020.0","WI","12/03/2019 09:00:00","03/03/2020 08:00:00","0.127","0.221","0.101","0.268","0.365","0.076","0.075","0.035","0.01","0.012","0.022"
"WSP144","2020.0","WI","12/03/2019 09:00:00","03/03/2020 08:00:00","0.562","0.856","1.925","0.801","2.713","0.703","0.123","0.312","0.038","0.062","0.344"
"CDR119","1992.0","FA","09/01/1992 09:00:00","12/01/1992 08:00:00","7.598","4.863","0.22","1.141","1.343","1.467","","","","",""
"CTH110","2021.0","SP","03/02/2021 09:00:00","06/01/2021 08:00:00","0.421","0.845","0.614","0.642","1.245","0.377","0.294","0.081","0.047","0.055","0.056"
"GRC474","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.233","0.731","0.345","0.435","0.773","0.236","0.26","0.114","0.039","0.037","0.029"
"RCK163","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","0.259","0.448","0.181","0.501","0.673","0.19","","","","",""
"ALH157","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","1.084","1.642","1.191","0.847","2.025","0.711","0.599","0.06","0.072","0.113","0.043"
"PRK134","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","2.413","2.298","4.749","0.525","5.266","2.089","0.133","0.154","0.032","0.063","0.159"
"GLR468","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","0.22","0.496","0.107","0.191","0.295","0.167","0.072","0.029","0.015","0.044","0.016"
"EGB181","1995.0","SP","02/28/1995 09:00:00","05/30/1995 08:00:00","3.972","2.645","2.474","0.912","3.371","1.335","","","","",""
"WPB104","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","13.997","2.89","0.831","1.527","2.334","0.961","","","","",""
"CAD150","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.619","1.699","0.253","0.568","0.812","0.571","0.161","0.079","0.028","0.1","0.034"
"THR422","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.734","1.434","0.973","0.495","1.46","0.625","0.264","0.089","0.045","0.032","0.019"
"DUK008","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.55","1.096","0.453","0.938","1.376","0.364","0.132","0.203","0.04","0.064","0.144"
"GTH161","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.092","0.141","0.05","0.119","0.167","0.057","0.026","0.009","0.004","0.008","0.013"
"DUK008","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.614","0.888","0.772","0.855","1.614","0.371","0.143","0.261","0.039","0.064","0.18"
"GRC474","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","0.395","0.467","0.247","0.813","1.047","0.177","0.077","0.045","0.012","0.013",""
"VIN140","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","0.759","1.47","0.713","0.963","1.661","0.486","1.171","0.089","0.114","0.106","0.038"
"CDZ171","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","3.384","6.434","0.334","2.082","2.383","2.029","0.259","0.108","0.038","0.082",""
"STK138","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","4.299","3.152","3.669","1.611","5.255","1.905","","","","",""
"GLR468","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.214","0.426","0.107","0.25","0.353","0.153","0.107","0.031","0.023","0.031","0.018"
"PSU106","1987.0","FA","09/01/1987 09:00:00","12/01/1987 08:00:00","16.579","5.189","2.048","2.551","4.559","","","","","",""
"DCP114","1995.0","FA","08/29/1995 09:00:00","11/28/1995 08:00:00","","","","","","","","","","",""
"PRK134","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.492","1.406","0.286","0.611","0.887","0.559","0.332","0.022","0.064","0.07","0.032"
"FOR605","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","","","","","","","","","","",""
"LAV410","1999.0","FA","08/31/1999 09:00:00","11/30/1999 08:00:00","0.365","0.523","0.364","0.479","0.836","0.283","","","","",""
